,word_count,word_count,sentence_count,sentence_count,avg_word_length,avg_word_length,avg_sentence_length,avg_sentence_length,type_token_ratio,type_token_ratio,hapax_ratio,hapax_ratio,hedge_ratio,hedge_ratio,certainty_ratio,certainty_ratio,negation_ratio,negation_ratio,exclamation_count,exclamation_count,question_count,question_count,comma_count,comma_count,punctuation_ratio,punctuation_ratio,upper_ratio,upper_ratio,starts_true,starts_true,starts_false,starts_false,bigram_diversity,bigram_diversity
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_lie,40.263888888888886,6.566715895038239,3.142361111111111,0.3878071759647717,4.907079367862313,0.45971428566787653,12.975636574074073,2.434056655866771,0.7978558148501038,0.06254217509166325,0.6488433172695949,0.10205908239823008,0.007274346096532432,0.013167557717093657,0.03534485191641812,0.015407999632450237,0.03845449486992109,0.019738805908828167,0.0,0.0,0.0,0.0,2.0069444444444446,1.1626985778633876,0.034098067788037735,0.022202614058514907,0.0247807165038179,0.011391436864307448,0.0,0.0,0.0,0.0,0.9764982516920466,0.030338037993364167
roleplay_lie,48.416666666666664,6.386505808812282,3.2777777777777777,0.5402856960646363,5.005089320399097,0.4171755088210529,15.052199074074075,2.524912456578777,0.8402405148367493,0.05969325837205437,0.7215289410505551,0.09750124626039242,0.009674261962512205,0.013791716975338581,0.034314435495620216,0.0165127537962099,0.013012472160082531,0.013513763843241848,0.3888888888888889,0.5796924705683215,0.0,0.0,2.579861111111111,1.0790420232593991,0.03068501258771537,0.018850089331464103,0.022996328674580277,0.009892041543613153,0.0,0.0,0.020833333333333332,0.14307474716127003,0.9882595057762712,0.01659202330092262
sycophantic_lie,52.03819444444444,7.778416457240422,3.076388888888889,0.30282896383854635,4.966283470586079,0.4201564620941024,17.029976851851853,2.808252784310027,0.838741620933356,0.05634482853326583,0.714785910508758,0.08855406735053414,0.023576763324252965,0.02030974384260644,0.03624705873591772,0.015598339268036015,0.016807641997338234,0.01607704452489963,0.08680555555555555,0.3057512659402746,0.0,0.0,2.6875,1.2658403992511484,0.03201915445060686,0.014321686584590305,0.018229695852642027,0.008613751029892036,0.0,0.0,0.0,0.0,0.9799369649797325,0.02399283671994772
truthful,36.802083333333336,10.136648029563887,3.1354166666666665,0.5068133345696039,4.911697616103219,0.5823347320992006,11.8010333994709,3.1011919060848854,0.8057881156680935,0.07369620021793859,0.6685120303416094,0.11168853499533955,0.004879471269146085,0.01720988277047315,0.03763873459130659,0.016768276233861,0.0032786870119611306,0.01002133470745377,0.0,0.0,0.0,0.0,2.2743055555555554,1.8320889822043778,0.03618788922162411,0.01561582655368502,0.03243916197619526,0.01723108363743045,0.8854166666666666,0.3190728620381222,0.024305555555555556,0.1542641418938787,0.9780723452202964,0.030563436985398245
