classifier,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std
Logistic Regression,0.9739506869941652,0.00552357509982993,0.9828440065681445,0.0035932973326774074,0.9844350932655166,0.010503292181268742
Random Forest,0.9765593826463392,0.003487984076195527,0.9845990490990492,0.0022754716070779394,0.9951631557966072,0.0028012457139858795
Gradient Boosting,0.9791605495953322,0.008427755235244224,0.9862621755382415,0.005503174868663667,0.9932637579760433,0.003393511509714834
