feature,observed_diff,p_value,ci_low,ci_high
word_count,-10.104166666666664,0.0,-1.331018518518519,1.331018518518519
avg_sentence_length,-3.218237433862434,0.0,-0.45665233686067097,0.4508269951499161
hedge_ratio,-0.008628985858619782,0.0,-0.002321072731222013,0.002405583920070696
negation_ratio,-0.01947951599715282,0.0,-0.00265162110210748,0.0027126157812266487
type_token_ratio,-0.01982453453864297,0.0,-0.008725703197628878,0.008662509141988276
upper_ratio,0.010436914965848528,0.0,-0.0017631427258591134,0.0017502365449118356
