feature,truth_mean,lie_mean,cohens_d,p_value,bonferroni_sig
word_count,36.802083333333336,46.90625,-1.0800197261395048,1.1302438077679834e-48,True
sentence_count,3.1354166666666665,3.165509259259259,-0.06404958063960163,0.02892690968190573,False
avg_word_length,4.91169761610322,4.959484052949163,-0.09303885648093274,0.03290044239737616,False
avg_sentence_length,11.8010333994709,15.019270833333334,-1.0421114388129022,5.5531959868977585e-46,True
type_token_ratio,0.8057881156680935,0.8256126502067365,-0.2898064408094267,0.00018364047317359064,True
hapax_ratio,0.6685120303416093,0.6950527229429694,-0.24866280722781028,0.0009122803527225188,True
hedge_ratio,0.004879471269146085,0.013508457127765867,-0.49573061958171766,8.632035330204882e-22,True
certainty_ratio,0.03763873459130659,0.035302115382652016,0.1432207768090516,0.02157013075066837,False
negation_ratio,0.0032786870119611306,0.022758203009113954,-1.229018656186359,4.470067214309657e-54,True
exclamation_count,0.0,0.15856481481481483,-0.5428255930919551,2.0093400372216467e-11,True
question_count,0.0,0.0,0.0,1.0,False
comma_count,2.2743055555555554,2.4247685185185186,-0.09696656827199654,0.010912865691241596,False
punctuation_ratio,0.03618788922162411,0.032267411608786656,0.2270794027910113,2.8596585234523955e-10,True
upper_ratio,0.03243916197619526,0.02200224701034673,0.733488336682092,6.29756783049802e-19,True
bigram_diversity,0.9780723452202962,0.9815649074826834,-0.12555327297622842,0.20756794415517743,False
