feature,truth_mean,lie_mean,cohens_d,p_value,bonferroni_sig
word_count,43.416666666666664,58.02777777777778,-1.4072334309551002,3.503084651550407e-12,True
sentence_count,3.0208333333333335,3.388888888888889,-0.8526834143714807,1.0971952763527514e-05,True
avg_word_length,4.996410580637268,4.957658701636735,0.09300164863264779,0.8266926918174805,False
avg_sentence_length,14.404513888888888,17.396064814814814,-0.8739582868404187,1.1031785619115365e-06,True
type_token_ratio,0.7941813069681635,0.8030671257593601,-0.14793669288356548,0.6527765618110171,False
hapax_ratio,0.6556422597292385,0.6715923448147925,-0.18322335679993745,0.5035849766678953,False
hedge_ratio,0.0026977596403466447,0.02312736043273143,-1.0837624331593065,1.1402621220046841e-08,True
certainty_ratio,0.03637905424821894,0.038834027509658094,-0.12444354932384356,0.12238614514285365,False
negation_ratio,0.0060934126316105385,0.010466778920795648,-0.32069414905607796,0.0338677642819321,False
exclamation_count,0.0,0.8194444444444444,-1.2002684961985888,2.039118547646596e-08,True
question_count,0.0,0.006944444444444444,-0.1178511301977579,0.5718546732261895,False
comma_count,2.7291666666666665,3.5208333333333335,-0.4442199791233933,0.0024622200463759844,True
punctuation_ratio,0.02964228331816322,0.026840539421725856,0.24640548031614412,0.05529821727309369,False
upper_ratio,0.02452681679015126,0.01802770546662143,0.6627284542762039,0.0007860469495612832,True
bigram_diversity,0.9763188945958738,0.9809022542755872,-0.17147266630170993,0.18934949033903403,False
